id;abc;fm;to;capacity;zona;stat;oper;region;area;ts
0;900;0000000;0061999;62000;3;mg;ООО "Т2 МОБАЙЛ";Краснодарский край;Краснодарский край;7743895280;2025-05-01 12:46:22
0;900;0062000;0062999;1000;3;mg;ООО "Т2 МОБАЙЛ";Ростовская обл.;Ростовская область;7743895280;2025-05-01 12:46:22
0;900;0063000;0099999;37000;3;mg;ООО "Т2 МОБАЙЛ";Краснодарский край;Краснодарский край;7743895280;2025-05-01 12:46:22
0;900;0100000;0199999;100000;2;mg;ООО "Т2 Мобайл";Тверская обл.;Тверская область;7743895280;2025-05-01 12:46:22
0;900;0200000;0299999;100000;4;mg;ООО "Т2 Мобайл";Челябинская обл.;Челябинская область;7743895280;2025-05-01 12:46:22
0;900;0300000;0499999;200000;4;mg;ООО "ЕКАТЕРИНБУРГ-2000";Свердловская обл.;Свердловская область;6661079603;2025-05-01 12:46:22
0;900;0500000;0599999;100000;4;mg;ООО "Т2 МОБАЙЛ";Кемеровская обл.;Кемеровская область - Кузбасс;7743895280;2025-05-01 12:46:22
0;900;0600000;0999999;400000;4;mg;ООО "Т2 Мобайл";Челябинская обл.;Челябинская область;7743895280;2025-05-01 12:46:22
0;900;1000000;1099999;100000;4;mg;ООО "Т2 МОБАЙЛ";Кемеровская обл.;Кемеровская область - Кузбасс;7743895280;2025-05-01 12:46:22
0;900;1100000;1199999;100000;2;mg;ООО "Т2 Мобайл";Тверская обл.;Тверская область;7743895280;2025-05-01 12:46:22
0;900;1200000;1399999;200000;3;mg;ООО "Т2 МОБАЙЛ";Ростовская обл.;Ростовская область;7743895280;2025-05-01 12:46:22
0;900;1400000;1599999;200000;0;vz;ООО "Т2 Мобайл";г. Москва * Московская область;Город Москва, Московская область;7743895280;2025-05-01 12:46:22
0;900;1600000;1629999;30000;5;mg;ООО "Т2 МОБАЙЛ";Республика Тыва;Республика Тыва;7743895280;2025-05-01 12:46:22
0;900;1630000;1649999;20000;4;mg;ООО "Т2 МОБАЙЛ";Алтайский край;Алтайский край;7743895280;2025-05-01 12:46:22
0;900;1650000;1699999;50000;3;mg;ООО "Т2 Мобайл";Саратовская обл.;Саратовская область;7743895280;2025-05-01 12:46:22
0;900;1700000;1719999;20000;2;mg;ООО "Т2 Мобайл";Белгородская обл.;Белгородская область;7743895280;2025-05-01 12:46:22
0;900;1720000;1739999;20000;3;mg;ООО "Т2 МОБАЙЛ";Ростовская обл.;Ростовская область;7743895280;2025-05-01 12:46:22
0;900;1740000;1749999;10000;3;mg;ООО "Т2 Мобайл";Волгоградская обл.;Волгоградская область;7743895280;2025-05-01 12:46:22
0;900;1750000;1759999;10000;6;mg;ООО "Т2 МОБАЙЛ";Камчатский край;Камчатский край;7743895280;2025-05-01 12:46:22
0;900;1760000;1799999;40000;3;mg;ООО "Т2 МОБАЙЛ";Самарская обл.;Самарская область;7743895280;2025-05-01 12:46:22
0;900;1800000;1839999;40000;3;mg;ООО "Т2 Мобайл";Волгоградская обл.;Волгоградская область;7743895280;2025-05-01 12:46:22
0;900;1840000;1889999;50000;3;mg;ООО "Т2 МОБАЙЛ";Ростовская обл.;Ростовская область;7743895280;2025-05-01 12:46:22
0;900;1890000;1899999;10000;4;mg;ООО "Т2 МОБАЙЛ";Алтайский край;Алтайский край;7743895280;2025-05-01 12:46:22
0;900;1900000;1909999;10000;4;mg;ООО "Т2 МОБАЙЛ";Республика Адыгея;Республика Адыгея;7743895280;2025-05-01 12:46:22
0;900;1910000;1919999;10000;4;mg;ООО "Т2 Мобайл";Кабардино-Балкарская Республика;Кабардино-Балкарская Республика;7743895280;2025-05-01 12:46:22
0;900;1920000;1929999;10000;4;mg;ООО "Т2 Мобайл";Карачаево-Черкесская Республика;Карачаево-Черкесская Республика;7743895280;2025-05-01 12:46:22
0;900;1930000;1939999;10000;4;mg;ООО "Т2 Мобайл";Республика Северная Осетия - Алания;Республика Северная Осетия - Алания;7743895280;2025-05-01 12:46:22
0;900;1940000;1949999;10000;4;mg;ООО "Т2 МОБАЙЛ";Чеченская Республика;Чеченская Республика;7743895280;2025-05-01 12:46:22
0;900;1950000;1959999;10000;3;mg;ООО "Т2 МОБАЙЛ";Краснодарский край;Краснодарский край;7743895280;2025-05-01 12:46:22
0;900;1960000;1969999;10000;4;mg;ООО "Т2 Мобайл";Республика Ингушетия;Республика Ингушетия;7743895280;2025-05-01 12:46:22
0;900;1970000;2169999;200000;4;mg;ООО "ЕКАТЕРИНБУРГ-2000";Свердловская обл.;Свердловская область;6661079603;2025-05-01 12:46:22
0;900;2170000;2187999;18000;4;mg;ООО "Т2 МОБАЙЛ";Чеченская Республика;Чеченская Республика;7743895280;2025-05-01 12:46:22
0;900;2188000;2189999;2000;0;vz;ООО "СИМ ТЕЛЕКОМ";г. Москва и Московская область;Город Москва, Московская область;7707840631;2025-05-01 12:46:22
0;900;2190000;2289999;100000;2;mg;ООО "Т2 Мобайл";Смоленская обл.;Смоленская область;7743895280;2025-05-01 12:46:22
0;900;2290000;2989999;700000;3;mg;ООО "Т2 МОБАЙЛ";Краснодарский край;Краснодарский край;7743895280;2025-05-01 12:46:22
