[book    ] sum:22350.89  nds:4470.18  vsego:26821.07
[detal   ] sum:22350.89  nds:4470.18  vsego:26821.07
[amount  ] sum:22350.95  nds:4470.20  vsego:26821.15
[total   ] sum:22350.95  nds:4470.19  vsego:26821.14
[akt     ] sum:22350.95  nds:0.00  vsego:0.00
--
[book    ] sum:22350.89  nds:4470.18  vsego:26821.07
[detal   ] sum:22350.89  nds:4470.18  vsego:26821.07
[amount  ] sum:22350.89  nds:4470.18  vsego:26821.07
[total   ] sum:22350.89  nds:4470.18  vsego:26821.07
[akt     ] sum:22350.89  nds:0.00  vsego:0.00
