[book    ] sum:18728.09  nds:3745.62  vsego:22473.71
[detal   ] sum:18728.09  nds:3745.62  vsego:22473.71
[amount  ] sum:18728.16  nds:3745.63  vsego:22473.79
[total   ] sum:18728.16  nds:3745.63  vsego:22473.79
[akt     ] sum:18728.16  nds:0.00  vsego:0.00
--
[book    ] sum:18728.09  nds:3745.62  vsego:22473.71
[detal   ] sum:18728.09  nds:3745.62  vsego:22473.71
[amount  ] sum:18728.09  nds:3745.62  vsego:22473.71
[total   ] sum:18728.09  nds:3745.62  vsego:22473.71
[akt     ] sum:18728.09  nds:0.00  vsego:0.00
