[book    ] sum:29417.48  nds:5883.51  vsego:35300.99
[detal   ] sum:29417.48  nds:5883.51  vsego:35300.99
[amount  ] sum:29417.54  nds:5883.51  vsego:35301.05
[total   ] sum:29417.54  nds:5883.52  vsego:35301.06
[akt     ] sum:29417.54  nds:0.00  vsego:0.00
--
[book    ] sum:29417.48  nds:5883.51  vsego:35300.99
[detal   ] sum:29417.48  nds:5883.51  vsego:35300.99
[amount  ] sum:29417.48  nds:5883.51  vsego:35300.99
[total   ] sum:29417.48  nds:5883.51  vsego:35300.99
[akt     ] sum:29417.48  nds:0.00  vsego:0.00
