[book    ] sum:34084.26  nds:6816.85  vsego:40901.11
[detal   ] sum:34084.26  nds:6816.85  vsego:40901.11
[amount  ] sum:34084.22  nds:6816.84  vsego:40901.06
[total   ] sum:34084.22  nds:6816.84  vsego:40901.06
[akt     ] sum:34084.22  nds:0.00  vsego:0.00
--
[book    ] sum:34084.26  nds:6816.85  vsego:40901.11
[detal   ] sum:34084.26  nds:6816.85  vsego:40901.11
[amount  ] sum:34084.26  nds:6816.85  vsego:40901.11
[total   ] sum:34084.26  nds:6816.85  vsego:40901.11
[akt     ] sum:34084.26  nds:0.00  vsego:0.00
