[book    ] sum:33213.01  nds:6642.61  vsego:39855.62
[detal   ] sum:33213.01  nds:6642.61  vsego:39855.62
[amount  ] sum:33213.19  nds:6642.65  vsego:39855.84
[total   ] sum:33213.19  nds:6642.63  vsego:39855.82
[akt     ] sum:33213.19  nds:0.00  vsego:0.00
--
[book    ] sum:33213.01  nds:6642.61  vsego:39855.62
[detal   ] sum:33213.01  nds:6642.61  vsego:39855.62
[amount  ] sum:33213.01  nds:6642.61  vsego:39855.62
[total   ] sum:33213.01  nds:6642.61  vsego:39855.62
[akt     ] sum:33213.01  nds:0.00  vsego:0.00
