[book    ] sum:27400.75  nds:5480.17  vsego:32880.92
[detal   ] sum:27400.75  nds:5480.17  vsego:32880.92
[amount  ] sum:27400.80  nds:5480.18  vsego:32880.98
[total   ] sum:27400.80  nds:5480.16  vsego:32880.96
[akt     ] sum:27400.80  nds:0.00  vsego:0.00
--
[book    ] sum:27400.75  nds:5480.17  vsego:32880.92
[detal   ] sum:27400.75  nds:5480.17  vsego:32880.92
[amount  ] sum:27400.75  nds:5480.17  vsego:32880.92
[total   ] sum:27400.75  nds:5480.17  vsego:32880.92
[akt     ] sum:27400.75  nds:0.00  vsego:0.00
