[book    ] sum:25384.87  nds:5076.97  vsego:30461.84
[detal   ] sum:25384.87  nds:5076.97  vsego:30461.84
[amount  ] sum:25384.99  nds:5077.01  vsego:30462.00
[total   ] sum:25384.99  nds:5077.00  vsego:30461.99
[akt     ] sum:25384.99  nds:0.00  vsego:0.00
--
[book    ] sum:25384.87  nds:5076.97  vsego:30461.84
[detal   ] sum:25384.87  nds:5076.97  vsego:30461.84
[amount  ] sum:25384.87  nds:5076.97  vsego:30461.84
[total   ] sum:25384.87  nds:5076.97  vsego:30461.84
[akt     ] sum:25384.87  nds:0.00  vsego:0.00
