[book    ] sum:21399.94  nds:4279.98  vsego:25679.92
[detal   ] sum:21399.94  nds:4279.98  vsego:25679.92
[amount  ] sum:21400.00  nds:4280.01  vsego:25680.01
[total   ] sum:21400.00  nds:4280.00  vsego:25680.00
[akt     ] sum:21400.00  nds:0.00  vsego:0.00
--
[book    ] sum:21399.94  nds:4279.98  vsego:25679.92
[detal   ] sum:21399.94  nds:4279.98  vsego:25679.92
[amount  ] sum:21399.94  nds:4279.98  vsego:25679.92
[total   ] sum:21399.94  nds:4279.98  vsego:25679.92
[akt     ] sum:21399.94  nds:0.00  vsego:0.00
