[book    ] sum:26166.38  nds:5233.28  vsego:31399.66
[detal   ] sum:26166.38  nds:5233.28  vsego:31399.66
[amount  ] sum:26166.44  nds:5233.28  vsego:31399.72
[total   ] sum:26166.44  nds:5233.29  vsego:31399.73
[akt     ] sum:26166.44  nds:0.00  vsego:0.00
--
[book    ] sum:26166.38  nds:5233.28  vsego:31399.66
[detal   ] sum:26166.38  nds:5233.28  vsego:31399.66
[amount  ] sum:26166.38  nds:5233.28  vsego:31399.66
[total   ] sum:26166.38  nds:5233.28  vsego:31399.66
[akt     ] sum:26166.38  nds:0.00  vsego:0.00
