[book    ] sum:33560.61  nds:6712.11  vsego:40272.72
[detal   ] sum:33560.61  nds:6712.11  vsego:40272.72
[amount  ] sum:33560.66  nds:6712.12  vsego:40272.78
[total   ] sum:33560.66  nds:6712.13  vsego:40272.79
[akt     ] sum:33560.66  nds:0.00  vsego:0.00
--
[book    ] sum:33560.61  nds:6712.11  vsego:40272.72
[detal   ] sum:33560.61  nds:6712.11  vsego:40272.72
[amount  ] sum:33560.61  nds:6712.11  vsego:40272.72
[total   ] sum:33560.61  nds:6712.11  vsego:40272.72
[akt     ] sum:33560.61  nds:0.00  vsego:0.00
