[book    ] sum:25431.69  nds:5086.33  vsego:30518.02
[detal   ] sum:25431.69  nds:5086.33  vsego:30518.02
[amount  ] sum:25431.76  nds:5086.34  vsego:30518.10
[total   ] sum:25431.76  nds:5086.35  vsego:30518.11
[akt     ] sum:25431.76  nds:0.00  vsego:0.00
--
[book    ] sum:25431.69  nds:5086.33  vsego:30518.02
[detal   ] sum:25431.69  nds:5086.33  vsego:30518.02
[amount  ] sum:25431.69  nds:5086.33  vsego:30518.02
[total   ] sum:25431.69  nds:5086.33  vsego:30518.02
[akt     ] sum:25431.69  nds:0.00  vsego:0.00
