[book    ] sum:29527.76  nds:5905.55  vsego:35433.31
[detal   ] sum:29527.76  nds:5905.55  vsego:35433.31
[amount  ] sum:29527.82  nds:5905.55  vsego:35433.37
[total   ] sum:29527.82  nds:5905.56  vsego:35433.38
[akt     ] sum:29527.82  nds:0.00  vsego:0.00
--
[book    ] sum:29527.76  nds:5905.55  vsego:35433.31
[detal   ] sum:29527.76  nds:5905.55  vsego:35433.31
[amount  ] sum:29527.76  nds:5905.55  vsego:35433.31
[total   ] sum:29527.76  nds:5905.55  vsego:35433.31
[akt     ] sum:29527.76  nds:0.00  vsego:0.00
