[book    ] sum:32249.47  nds:6449.88  vsego:38699.35
[detal   ] sum:32249.47  nds:6449.88  vsego:38699.35
[amount  ] sum:32249.48  nds:6449.90  vsego:38699.38
[total   ] sum:32249.48  nds:6449.89  vsego:38699.37
[akt     ] sum:32249.48  nds:0.00  vsego:0.00
--
[book    ] sum:32249.47  nds:6449.88  vsego:38699.35
[detal   ] sum:32249.47  nds:6449.88  vsego:38699.35
[amount  ] sum:32249.47  nds:6449.88  vsego:38699.35
[total   ] sum:32249.47  nds:6449.88  vsego:38699.35
[akt     ] sum:32249.47  nds:0.00  vsego:0.00
